"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Vue", "Markdown", "HTML", "YAML", "XML", "CSS", "comment", "blank", "total"
"d:\Programming\Web\ticket-system-frontend\.eslintrc.cjs", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 2, 26
"d:\Programming\Web\ticket-system-frontend\.gitlab-ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"d:\Programming\Web\ticket-system-frontend\.prettierrc.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Programming\Web\ticket-system-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 25, 69
"d:\Programming\Web\ticket-system-frontend\cypress.config.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Programming\Web\ticket-system-frontend\cypress\e2e\example.cy.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"d:\Programming\Web\ticket-system-frontend\cypress\e2e\tsconfig.json", "JSON with Comments", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Programming\Web\ticket-system-frontend\cypress\fixtures\example.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Programming\Web\ticket-system-frontend\cypress\support\commands.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 37, 2, 40
"d:\Programming\Web\ticket-system-frontend\cypress\support\e2e.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 21
"d:\Programming\Web\ticket-system-frontend\env.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 8
"d:\Programming\Web\ticket-system-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"d:\Programming\Web\ticket-system-frontend\package.json", "JSON", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"d:\Programming\Web\ticket-system-frontend\postcss.config.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Programming\Web\ticket-system-frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
